Kanji,Wiki_Count,Wiki_Ranking,Meanings,Grade,JLPT,Radical,Stroke_Count,Newspaper_Ranking,Novel_Frequency,In_Joyo
可,90,218,"['can', 'passable', ""mustn't"", 'should not', 'do not']",5,2,30,5,296,0.000759528,Yes
県,90,218,['prefecture'],3,3,109,9,1396,0.000105984,Yes
井,88,220,"['well', 'well crib', 'town', 'community']",4,1,7,4,371,0.000607875,Yes
置,87,221,"['placement', 'put', 'set', 'deposit', 'leave behind', 'keep', 'employ', 'pawn']",4,2,122,13,218,0.001036455,Yes
来,87,221,"['come', 'due', 'next', 'cause', 'become']",2,4,75,7,6,0.007101628,Yes
平,87,221,"['even', 'flat', 'peace']",3,2,51,5,124,0.001570417,Yes
州,86,224,"['state', 'province']",3,2,47,6,640,0.000350646,Yes
音,86,224,"['sound', 'noise']",1,3,180,9,155,0.001312877,Yes
原,86,224,"['meadow', 'original', 'primitive', 'field', 'plain', 'prairie', 'tundra', 'wilderness']",2,2,27,10,201,0.00108665,Yes
得,86,224,"['gain', 'get', 'find', 'earn', 'acquire', 'can', 'may', 'able to', 'profit', 'advantage', 'benefit']",4,2,60,11,139,0.001436402,Yes
工,85,228,"['craft', 'construction', 'katakana e radical (no. 48)']",2,3,48,3,410,0.000550901,Yes
復,85,228,"['restore', 'return to', 'revert', 'resume']",5,2,60,12,881,0.000228364,Yes
義,84,230,"['righteousness', 'justice', 'morality', 'honor', 'loyalty', 'meaning']",5,1,123,13,212,0.001059668,Yes
基,83,231,"['fundamentals', 'radical (chem)', 'counter for machines', 'foundation']",5,2,32,11,950,0.000202373,Yes
限,83,231,"['limit', 'restrict', 'to best of ability']",5,2,170,9,416,0.000537264,Yes
王,83,231,"['king', 'rule', 'magnate']",1,2,96,4,369,0.000610264,Yes
天,83,231,"['heavens', 'sky', 'imperial']",1,4,37,4,142,0.001408818,Yes
楽,82,235,"['music', 'comfort', 'ease']",2,3,75,13,268,0.000814987,Yes
呼,82,235,"['call', 'call out to', 'invite']",6,2,30,8,276,0.000789987,Yes
品,82,235,"['goods', 'refinement', 'dignity', 'article', 'counter for meal courses']",3,3,30,9,282,0.000784626,Yes
気,82,235,"['spirit', 'mind', 'air', 'atmosphere', 'mood']",1,4,84,6,28,0.004520359,Yes
吉,82,235,"['good luck', 'joy', 'congratulations']",8,1,30,6,207,0.001078006,Yes
移,80,240,"['shift', 'move', 'change', 'drift', 'catch (cold, fire)', 'pass into']",5,2,115,11,760,0.000284872,Yes
改,79,241,"['reformation', 'change', 'modify', 'mend', 'renew', 'examine', 'inspect', 'search']",4,2,66,7,567,0.000404978,Yes
村,79,241,"['village', 'town']",1,3,75,7,183,0.001166216,Yes
演,79,241,"['performance', 'act', 'play', 'render', 'stage']",5,2,85,14,659,0.00034103,Yes
更,78,244,"['grow late', 'night watch', 'sit up late', 'of course', 'renew', 'renovate', 'again', 'more and more', 'further']",8,2,73,7,537,0.000431999,Yes
今,78,244,['now'],2,4,9,4,36,0.003844942,Yes
西,78,244,"['west', 'Spain']",2,4,146,6,313,0.000723611,Yes
訂,77,247,"['revise', 'correct', 'decide']",8,1,149,9,2399,2.75E-05,Yes
修,77,247,"['discipline', 'conduct oneself well', 'study', 'master']",5,2,9,10,779,0.000273741,Yes
私,76,249,"['private', 'I', 'me']",6,3,115,7,14,0.005872552,Yes
申,76,249,"['have the honor to', 'sign of the monkey', '3-5PM', 'ninth sign of Chinese zodiac']",3,2,102,5,255,0.000889483,Yes
治,76,249,"['reign', 'be at peace', 'calm down', 'subdue', 'quell', 'govt', 'cure', 'heal', 'rule', 'conserve']",4,2,85,8,283,0.00078346,Yes
字,76,249,"['character', 'letter', 'word', 'section of village']",1,3,39,6,205,0.001084299,Yes
次,76,249,"['next', 'order', 'sequence']",3,2,76,6,141,0.001417676,Yes
反,75,254,['anti-'],3,2,29,4,341,0.000658187,Yes
女,75,254,"['woman', 'female']",1,4,38,3,26,0.00472073,Yes
院,74,256,"['Inst.', 'institution', 'temple', 'mansion', 'school']",3,3,170,10,575,0.000400258,Yes
約,74,256,"['promise', 'approximately', 'shrink']",4,2,120,9,683,0.000325335,Yes
神,74,256,"['gods', 'mind', 'soul']",3,2,113,9,108,0.001749479,Yes
相,73,259,"['inter-', 'mutual', 'together', 'each other', 'minister of state', 'councillor', 'aspect', 'phase', 'physiognomy']",3,2,109,9,115,0.001650138,Yes
優,73,259,"['tenderness', 'excel', 'surpass', 'actor', 'superiority', 'gentleness']",6,2,9,17,648,0.000347071,Yes
容,73,259,"['contain', 'form', 'looks']",5,2,40,10,433,0.000523123,Yes
南,72,262,['south'],2,4,24,9,494,0.000469703,Yes
説,71,263,"['opinion', 'theory', 'explanation', 'rumor']",4,3,149,14,202,0.001086125,Yes
映,71,263,"['reflect', 'reflection', 'projection']",6,3,72,9,776,0.00027714,Yes
去,70,265,"['gone', 'past', 'quit', 'leave', 'elapse', 'eliminate', 'divorce']",3,3,28,5,373,0.000602514,Yes
紀,70,265,"['chronicle', 'account', 'narrative', 'history', 'annals', 'geologic period']",4,1,120,9,895,0.0002224,Yes
案,69,267,"['plan', 'suggestion', 'draft', 'ponder', 'fear', 'proposition', 'idea', 'expectation', 'worry', 'table', 'bench']",4,2,75,10,588,0.000389865,Yes
線,69,267,"['line', 'track']",2,2,120,15,456,0.00050193,Yes
域,69,267,"['range', 'region', 'limits', 'stage', 'level']",6,2,32,11,1634,7.64E-05,Yes
種,69,267,"['species', 'kind', 'class', 'variety', 'seed']",4,2,115,14,288,0.000769221,Yes
共,69,267,"['together', 'both', 'neither', 'all', 'and', 'alike', 'with']",4,2,12,6,343,0.000646182,Yes
近,68,272,"['near', 'early', 'akin', 'tantamount']",2,3,162,7,130,0.001515502,Yes
